Time,Body Part,Quaternion (x),Quaternion (y),Quaternion (z),Quaternion (w),Angles (x),Angles (y),Angles (z)
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.299316,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.33252,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.365723,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.398926,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.432129,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.46582,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.499023,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.532227,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.56543,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.598633,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.632324,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.665527,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.69873,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.731934,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.765137,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.798828,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.832031,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.865234,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.898438,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.931641,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.965332,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
1.998535,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.031738,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.064941,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.098145,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.131836,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.165039,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.198242,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.231445,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.265137,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.29834,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.331543,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.364746,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.397949,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
2.431641,,,,,,,,
,RightShoulder,0.01077976,-0.08030248,0.6668086,0.7408113,6.275637,-4.536713,-8.880463
,LeftShoulder,0.0005737925,0.03091284,-0.7306525,0.6820492,1.424921,3.579105,-6.802338
,Trunk,-0.0002132095,-0.0004308338,0.9998286,0.01850887,1.128733,-1.118561,2.86145
,UpperTrunk,-0.009757646,-0.009846351,0.9995922,0.02496594,6.675394,2.375031,2.142639
,LowerTrunk,-0.03044622,0.04836152,0.9983461,0.006262422,-6.605429,-2.38031,-0.02178955
,Hips,0.009238726,-0.00971434,-0.006462455,0.9998893,1.058767,-1.113281,0.7406006
,Head,0.01729589,0.01165329,-0.02843875,0.9993781,-0.8542666,2.4547,6.121429
